Number,Name,Start
M0,measure1,0.1.85
M1,measure3,2.1.8
M2,measure4,5.3.69
M3,measure5,7.5.76
M4,IVA,11.7.10
M5,measure9,26.5.76
M6,measure10,54.0.16
M7,measure11,65.6.16
M8,measure13,79.6.45
M9,measure14,84.7.13
M10,measure15,85.6.33
M11,measure17,89.7.35
M12,measure18,90.7.75
M13,measure19,93.1.59
M14,measure20,98.5.94
M15,measure22,105.0.51
M16,measure23,108.2.33
M17,measure24,109.4.4
M18,measure26,111.6.6
M19,measure30,118.4.21
