Number,Name,Start
M0,VA,0.0.69
M1,measure2,0.4.78
M2,measure4,1.3.65
M3,measure7,3.1.21
M4,measure11,4.6.40
M5,measure12,5.3.14
M6,measure18,14.6.28
M7,measure23,24.1.23
M8,measure25,26.6.41
M9,measure29,39.5.37
M10,measure30,42.6.63
M11,measure31,45.7.29
M12,measure32,47.6.61
M13,measure34,51.7.96
M14,measure36,64.3.62
M15,measure37,82.7.48
M16,measure38,83.6.73
M17,measure39,89.6.5
M18,measure40,105.0.33
