1.088140590,42.1
2.764240363,42.2
3.836598639,42.3
5.310793651,42.4
6.597369615,43.1
8.372448980,43.2
9.427301587,44.1
10.626031746,44.2
11.570793651,44.3
12.647619048,44.4
13.582222222,45.1
14.535691610,45.2
15.187301587,45.3
15.888253968,45.4
16.829160998,46.1
21.292698413,47.1
25.230272109,48.1
29.094603175,49.1
31.573129252,50.1
40.208253968,51.1
46.852063492,52.1
50.246734694,53.1
54.003809524,54.1
57.671111111,55.1
58.654784580,55.2
59.944376417,55.3
61.114920635,55.4
62.090158730,56.1
63.718276644,56.2
64.997641723,56.3
66.301859410,56.4
67.889342404,57.1
69.638095238,58.1
70.829523810,58.2
72.078072562,58.3
73.415918367,58.4
76.078730159,59.1
77.134217687,59.2
78.273015873,60.1
79.351292517,60.2
80.599365079,61.1
81.549478458,61.2
83.352380952,62.1
84.270340136,62.2
85.790476190,63.1
86.633650794,63.2
88.999478458,64.1
90.097029478,64.2
91.885714286,65.1
93.502108844,66.1
95.288888889,66.2
96.081269841,66.3
98.070204082,67.1
99.175736961,67.2
99.774603175,67.3
100.807369615,67.4
101.846621315,68.1
102.631201814,68.2
103.750521542,68.3
104.790544218,69.1
105.215419501,70.1
105.766893424,71.1
106.260317460,72.1
106.666666667,73.1
110.425396825,74.1
114.265034014,75.1
116.886349206,17.1
118.247619048,76.1
122.584126984,77.1
125.639591837,78.1
127.441269841,18.1
129.310476190,18.2
132.098208617,18.3
136.767709751,79.1
139.824761905,80.1
145.625396825,81.1
152.456439909,82.1
157.490793651,83.1
164.195555556,84.1
167.141587302,85.1
174.029206349,86.1
176.284444444,87.1
183.314285714,88.1
187.377777778,89.1
190.313650794,90.1
200.706031746,91.1
206.212063492,92.1
206.872222222,92.2
207.424399093,92.3
208.314920635,92.4
212.906666667,93.1
213.768820862,93.2
214.688707483,93.3
216.101836735,93.4
218.418412698,94.1
222.841904762,95.1
226.874920635,96.1
232.268321995,97.1
236.627188209,98.1
241.177868481,99.1
242.590476190,100.1
243.922176871,101.1
244.568752834,101.2
245.457256236,101.3
246.145306122,101.4
246.841383220,101.5
247.482086168,101.6
248.377505669,28.3
250.219682540,102.1
253.622857143,103.1
254.713174603,103.2
258.133333333,104.1
260.669705215,104.2
262.806349206,105.1
263.713628118,105.2
266.615873016,106.1
270.821587302,107.1
272.152380952,108.1
273.361269841,109.1
279.019274376,110.1
281.173333333,111.1
286.344126984,112.1
290.549841270,113.1
294.730748299,114.1
301.602539683,115.1
304.690793651,116.1
312.360634921,117.1
313.731655329,117.2
315.115011338,117.3
316.186666667,117.4
318.611201814,117.5
321.357006803,118.1
322.843378685,118.2
324.275714286,119.1
328.624761905,119.2
332.156893424,120.1
333.731995465,120.2
337.401904762,121.1
338.499183673,121.2
340.523922902,122.1
343.639365079,123.1
354.687959184,124.1
357.862267574,125.1
362.778412698,126.1
368.660317460,127.1
373.922539683,128.1
375.949886621,128.2
381.744761905,129.1
385.422222222,129.2
388.276235828,129.3
390.925011338,130.1
396.456848073,130.2
398.648888889,131.1
401.706666667,131.2
403.973424036,131.3
405.993650794,131.4
408.573968254,131.5
410.500929705,131.6
412.637959184,131.7
413.470476190,132.1
416.109115646,133.1
421.479002268,134.1
427.784126984,135.1
430.415238095,135.2
433.523809524,136.1
437.181768707,136.2
441.386666667,137.1
446.229886621,137.2
451.900952381,138.1
454.440634921,138.2
455.537777778,138.3
458.646349206,138.4
459.540317460,138.5
461.917460317,138.6
464.518095238,138.7
465.422222222,138.8
466.374421769,138.9
467.925873016,138.10
472.370793651,139.1
474.534603175,140.1
476.830476190,140.2
477.937777778,140.3
480.121904762,140.4
481.507823129,140.5
483.840000000,140.6
489.728662132,140.7
493.216507937,142.1
495.583492063,143.1
496.878231293,144.1
498.671746032,145.1
499.636825397,146.1
501.028571429,147.1
503.999342404,148.1
505.758571429,149.1
506.961269841,150.1
508.197732426,151.1
513.147936508,152.1
515.657142857,153.1
518.074920635,154.1
519.719501134,155.1
521.874285714,156.1
525.380498866,157.1
527.492063492,158.1
529.259682540,159.1
531.108571429,160.1
536.614603175,161.1
538.727619048,162.1
539.943129252,163.1
541.074285714,154.1
