#,Name,Start
M1,mes1,2.000
M3,mes3,25.000
M5,mes4,35.500
M6,mes7,55.000
M2,mes9,73.500
M7,mes13,102.979
M8,mes20,155.984
M9,mes24,191.367
M10,mes32,243.131
M11,mes36,263.164
M12,mes45,340.237
M13,mes47,350.000
M14,mes50,371.000
M4,mes53,384.000
M21,mes76,394.000
M15,Mes55,396.110
M16,mes58,416.025
M17,mes65,473.678
M18,mes68,498.062
M19,mes70,515.918
M20,mes71,528.000
M22,mes76,583.000
M23,mes82,636.835
M24,mes85,658.409
M25,mes93,697.958
M26,mes96,715.310
M27,mes99,733.113
M28,mes107,805.830
M29,mes109,824.027
M30,mes111,848.070
M31,mes114,873.715
M32,mes116,892.905
M33,mes118,912.681
