Number,Name,Start
M0,measure9,0.0.0
M1,measure10,2.2.90
M2,measure11,3.4.7
M3,measure12,4.6.48
M4,measure13,6.1.15
M5,measure14,7.3.9
M6,measure15,8.5.71
M7,measure16,10.0.4
M8,measure17,11.5.18
M9,measure18,12.6.1
M10,measure19,13.4.50
M11,measure21,15.7.87
M12,measure22,15.7.87
M13,measure23,19.1.17
M14,measure24,19.7.57
