Number,Name,Start
M0,IA_measure1,0.1.76
M1,measure2,4.5.10
M2,measure3,7.0.9
M3,measure5,12.4.44
M4,measure6,14.7.90
M5,measure8,20.3.88
M6,measure9,23.5.33
M7,measure12,32.1.41
M8,measure13,38.0.59
M9,measure16,52.4.4
M10,measure18,63.4.98
M11,measure21,73.1.79
M12,measure22,80.2.68
M13,measure23,86.4.46
M14,measure24,93.5.30
