#,Name,Start
M2,IA_measure1,1.1.76
M1,measure2,5.1.10
M2,measure3,7.1.00
M3,measure5,11.2.00
M4,measure6,13.2.00
M5,measure8,17.3.00
M6,measure9,19.4.00
M7,measure12,28.3.00
M8,measure13,30.1.00
M9,measure16,38.4.45
M10,measure18,43.2.00
M11,measure21,49.1.00
M12,measure22,51.4.00
M13,measure23,54.4.00
M14,measure24,57.3.00
M15,measure25,60.3.00
